product_id,description,price,quantity_sold,name,thumbnail,category_id,rating_average
67805324," ️Áo thun cổ bẻ được may từ chất liệu thun COTTON CÁT  co giản tốt, mịn mát và thấm hút mồ hôi.SIZE: M< 60KG, L< 70KG ,XL<76KG, XXL< 85KGMÀU: XANH BÍCH, XANH ĐEN, ĐỎ ĐÔ, XÁM, XANH BIỂN...",289000,0,Áo Thun Cổ Tròn Thời Trang Nam Thêu Ngực Lịch Lãm - LZPS003,https://salt.tikicdn.com/cache/280x280/ts/product/bf/c0/9b/30c3f6bfaaffc1156d9e4539b2495035.jpg,915.0,0.0
279379299,"Mô tả chi tiết sản phẩm: Tên Sản Phẩm: Áo polo nam POLO-030Thương Hiệu: LUCIBEATY.Chất Liệu:- Coolmax: (80%) Mang đến bề mặt dễ chịu, mượt và nhẹ. Áo có khả năng thấm hút mồ hôi tốt, hạn chế nhăn...",525000,0,"Áo polo nam cao cấp vải Coolmax nhẹ, co giãn tốt, thoáng mát POLO-030",https://salt.tikicdn.com/cache/280x280/ts/product/53/cb/44/8af9d8bffa3b61399cb0221dcede4b25.jpg,5333.0,0.0
279143168,"      THÔNG TIN SẢN PHẨM :        - Chất Cá sấu dệt kim co dãn 4 chiều không nhăn, co giãn tốt và quan trọng độ bền màu cao  - Giặt không đổ lông, xù hay bay màu, thoải mái không gò bó khi vậ...",179000,0,"Áo Thun Polo  Nam, Chất Liệu Cao Cấp, Áo Polo  Thời Trang Menswear Có Cổ Shirt",https://salt.tikicdn.com/cache/280x280/ts/product/05/4d/15/57aa337b86cbeb642a612a9ac34f48f7.jpg,917.0,5.0
278081511,"    ""- Áo thun tay lỡ thời trang được thiết kế trẻ trung, độc đáo, thể hiện được sự phong cách thời trang cho các bạn trẻ.  - Áo thun tay lỡ lo form áo chuẩn, đường may đẹp chắc chắn từng đường ki...",75000,0,Áo Tay Lỡ Phản Quang Râu Trắng Onepice Mr.Buffalo unisex form rộng có big size MB28,https://salt.tikicdn.com/cache/280x280/ts/product/9d/62/ba/fb48602c09db609ab1d2af9d6e22d3fd.jpg,2.0,0.0
278081379,"    - Áo thun tay lỡ thời trang được thiết kế trẻ trung, độc đáo, thể hiện được sự phong cách thời trang cho các bạn trẻ.  - Áo thun tay lỡ lo form áo chuẩn, đường may đẹp chắc chắn từng đường kim...",150000,0,Áo thun Mr.Buffalo unisex form rộng có big size in hình phản quang luffy. MB07,https://salt.tikicdn.com/cache/280x280/ts/product/c9/69/35/7d71cca324c6e37210678237d087b806.jpg,2.0,0.0
278053880,"Là chiếc áo thun siêu nhẹ, mềm mại, thoáng mát, thấm hút mồ hôi cực tốt, phù hợp với mọi không gian, mọi hoạt động và bất chấp thời tiết nắng nóng. Với công nghệ kháng khuẩn Ag+, được tiệt trùng y tế,...",349000,0,"Áo Polo Nam Màu Xanh Đen Cao Cấp 100% Cotton, Thoáng Mát, Kháng Khuẩn - Gold Rhino",https://salt.tikicdn.com/cache/280x280/ts/product/aa/23/8a/f0961f74b3a610606fd6b6a42f38f0e4.jpg,2.0,0.0
277273285,"Đèn Trợ Sáng L4X Siêu Sáng Cao Cấp – Mẫu Đẹp, Bền Bỉ, Lắp Xe Máy Và Ô Tô Chuẩn NhấtBạn đang tìm kiếm một mẫu đèn trợ sáng siêu sáng, bền bỉ, lắp đặt dễ dàng cho xe máy và ô tô? Đèn trợ sáng L4X chính...",269000,1,"Đèn Trợ Sáng L4X Siêu Sáng Cao Cấp – Mẫu Đẹp, Bền Bỉ, Lắp Xe Máy Và Ô TÔ Chuẩn Nhất",https://salt.tikicdn.com/cache/280x280/ts/product/c6/1d/2f/997daf814b2ca67e31f6bdb5f7a6506e.jpg,915.0,5.0
274803144,"Áo được may từ chất liệu cotton cao cấp co giãn nhẹ, không nhão, không xù, hạn chế phai màu, tạo cảm giác thoải mái, dễ chịu khi mặc suốt ngày dài....",239000,3,[ FINAL ] Áo thun nam trung niên cotton,https://salt.tikicdn.com/cache/280x280/ts/product/cc/7b/f5/3aa5e70a1e3c80f752ac4211a812307a.jpg,2.0,5.0
274587409, HƯỚNG DẪN CHỌN SIZE ÁOSize M : phù hợp với bạn có cân nặng từ 45 - 57kg.Size L : phù hợp với bạn có cân nặng 58 - 64kg.Size XL : phù hợp với bạn có cân nặng 65 - 74kg.Size 2XL : phù hợp với b...,163900,5,Áo Polo Boro Sport Chất Liệu Vải Poly Thái Giữ Form Thiết Kế Thời Trang Năng Động HH,https://salt.tikicdn.com/cache/280x280/ts/product/60/ae/0b/33c4bb6f640ca230eaa2b066ff8af6f3.jpg,915.0,0.0
272408652,"Là chiếc áo thun siêu nhẹ, mềm mại, thoáng mát, thấm hút mồ hôi cực tốt, phù hợp với mọi không gian, mọi hoạt động và bất chấp thời tiết nắng nóng. Với công nghệ kháng khuẩn Ag+, được tiệt trùng y...",209000,4,"Áo Thun T-shirt Nam Cổ Tròn TRẮNG, ĐEN 100% Cotton Cao Cấp, Trẻ Trung, Thanh Lịch - Gold Rhino",https://salt.tikicdn.com/cache/280x280/ts/product/13/26/fe/f2811b4e2b4e5aee13d7a1d9003a9b9c.jpg,915.0,0.0
